index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold
1,,0.5,,RF,s,ee,,,
2,,0.5,,LF,s,ee,,,
3,,0.5,,RF,s,ee,,,
4,,0.5,,LF,s,ee,,,
5,,0.5,,RF,s,ee,,,
6,,0.5,,LF,s,ee,,,
7,,0.5,,RF,s,ee,,,
,,0.5,,RF,s,ee,,,
8,,0.5,,LF,s,ee,,,
,,0.5,,LF,s,ee,,,
9,,0.5,,RF,s,ee,,,
,,0.5,,RF,s,ee,,,
10,,0.5,,LFO,s,ee,,,
11,,0.5,,RFI,s,ee,,,
12,,0.5,,LFO,s,ee,,,
,,0.167,,RBI,s,ee,,,
,,0.167,*,,s,ee,,,
,,0.167,*,,s,ee,,,
13,,0.5,,RBO,s,ee,,,
14,,0.5,,LBI,s,ee,,,
15,,0.5,,RBO,s,ee,,,
,,0.5,,RBO,s,ee,,,
16,,0.5,,LFO,s,ee,,,
17,,0.5,,RFI,s,ee,,,
18,,0.5,,LFO,s,ee,,,
,,0.5,,LBI,s,ee,,,
19,,0.5,,RBI,s,ee,,,
,,1.5,,RFO,s,ee,,,
,,0.5,,RBI,s,ee,,,
,,0.5,,RBI,s,ee,,,
20,,2,,LBO,s,ee,,,
21,,1,,RBI,s,ee,,,
,,0.5,,RBO,s,ee,,,
,,0.5,,RBI,s,ee,,,
,,1,,RBO,s,ee,,,
22,,1,,LFI,s,ee,,,
23,,1,,RFO,s,ee,,,
24,,1,,LFI,s,ee,,,
25,,0.5,,RF,s,ee,,,
26,,0.5,,LF,s,ee,,,
27,,1,,RFI,s,ee,,,
28,,0.5,,LFO,s,ee,,,
29,,0.5,,RFI,s,ee,,,
30,,1,,LFO,s,ee,,,
31,,1,,RFI,s,ee,,,
32,2,3,,LFO,s,ee,,,
33,,2,,RBI,s,ee,,,
,,1,,RBO,s,ee,,,
,,0.5,,RFI,s,ee,,,
,,0.5,,RBO,s,ee,,,
,,2,,RFI,s,ee,,,
34,0,1,,L,s,ee,,,
35,0,1,,R,s,ee,,,
36,0,0.5,,L,s,ee,,,
37a,0,0.5,,R,s,ee,,,
37b,0,0.5,,R,s,ee,,,
37c,0,0.5,,R,s,ee,,,
38,0,0.5,,L,s,ee,,,
39,0,0.5,,R,s,ee,,,
40,0,0.5,,L,s,ee,,,
41,0,0.5,,R,s,ee,,,
42,,0.5,,R+L,s,ee,,,
43,,0.5,,L,s,ee,,,
44,,0.5,,RFO,s,ee,,,
45,,0.5,,LFI,s,ee,,,
46,,1,,RFO,s,ee,,,
47,,1,,LFI,s,ee,,,
48,,0.5,,RFO,s,ee,,,
49,,0.5,,LFI,s,ee,,,
50,,0.5,,RFO,s,ee,,,
51,,0.5,,LFI,s,ee,,,
52,,0.5,,RFI,s,ee,,,
53,,0.5,,LBI,s,ee,,,
54,2,0.5,,RFI,s,ee,,,
55,,0.5,,LBO,s,ee,,,
56,,0.5,,RBI,s,ee,,,
,,0.5,,RBI,s,ee,,,
57,,0.5,,LFO,s,ee,,,
58,,0.5,,RFI,s,ee,,,
59,,0.25,,LFI,s,ee,,,
,,0.25,,LFI,s,ee,,,
60,,0.25,,RBI,s,ee,,,
,,0.25,,RBI,s,ee,,,
61,2,0.5,,LFI,s,ee,,,
62,,0.5,,RBO,s,ee,,,
63,,1,,LBI,s,ee,,,
,,0.5,,RFO,s,ee,,,
,,0.5,,RFO,s,ee,,,
64,2,2,,LFI,s,ee,,,
65,,1,,RBO,s,ee,,,
,,1,,RFI,s,ee,,,
,,0.5,,RBO,s,ee,,,
,,0.5,,RFI,s,ee,,,
,,0.5,,RBO,s,ee,,,
66,,0.25,,LFO,s,ee,,,
67,,0.25,,RFI,s,ee,,,
68,,0.5,,LFO,s,ee,,,
69,,0.5,,RFI,s,ee,,,
70,,1,,LFO,s,ee,,,
1,,0.5,,RF,s,ee,,,
2,,0.5,,LF,s,ee,,,
3,,0.5,,RF,s,ee,,,
4,,0.5,,LF,s,ee,,,
5,,0.5,,RF,s,ee,,,
6,,0.5,,LF,s,ee,,,
7,,0.5,,RF,s,ee,,,
,,0.5,,RF,s,ee,,,
8,,0.5,,LF,s,ee,,,
,,0.5,,LF,s,ee,,,
9,,0.5,,RF,s,ee,,,
,,0.5,,RF,s,ee,,,
10,,0.5,,LFO,s,ee,,,
11,,0.5,,RFI,s,ee,,,
12a,,0.5,,LFO,s,ee,,,
12b,,0.5,,RFI,s,ee,,,
13,,0.5,,LFO,s,ee,,,
14,,0.5,,RFI,s,ee,,,
15,,0.5,,LFO,s,ee,,,
,,0.25,,LBI,s,ee,,,
,,0.25,,LBI,s,ee,,,
16,,0.5,,RBO,s,ee,,,
17,,0.5,,LFI,s,ee,,,
18,,0.5,,RBO,s,ee,,,
,,0.5,,RBO,s,ee,,,
19a,,1,,LFI,s,ee,,,
19b,,1,,RBO,s,ee,,,
20,,2,,LFI,s,ee,,,
21,,0.5,,RFO,s,ee,,,
,,1,,RBI,s,ee,,,
,,0.5,,RFO,s,ee,,,
,,1,,RBI,s,ee,,,
22,,0.5,,LBO,s,ee,,,
,,0.5,,LFI,s,ee,,,
23,,1,,RFO,s,ee,,,
24,,1,,LFI,s,ee,,,
25,,0.5,,RF,s,ee,,,
26,,0.5,,LF,s,ee,,,
27,,1,,RFI,s,ee,,,
28,,0.5,,LFO,s,ee,,,
29,,0.5,,RFI,s,ee,,,
30,,1,,LFO,s,ee,,,
31,,1,,RFI,s,ee,,,
32,2,3,,LFO,s,ee,,,
33a,,1,,RBI,s,ee,,,
33b,,1,,LFI,s,ee,,,
33c,,1,,RFI,s,ee,,,
,,1,,RBO,s,ee,,,
,,2,,RFI,s,ee,,,
34,0,1,,L,s,ee,,,
35,0,1,,R,s,ee,,,
36,0,0.5,,L,s,ee,,,
37a,0,0.5,,R,s,ee,,,
37b,0,0.5,,R,s,ee,,,
37c,0,0.5,,R,s,ee,,,
38,0,0.5,,L,s,ee,,,
39,0,0.5,,R,s,ee,,,
40,0,0.5,,L,s,ee,,,
41,0,0.5,,R,s,ee,,,
42,,0.5,,R+L,s,ee,,,
43,,0.5,,L,s,ee,,,
44,,0.5,,RFO,s,ee,,,
45,,0.5,,LFI,s,ee,,,
46,,1,,RFO,s,ee,,,
47,,1,,LFI,s,ee,,,
48,,0.5,,RBI,s,ee,,,
49,,0.5,,LBO,s,ee,,,
50,,0.5,,RBI,s,ee,,,
51a,,0.25,,LFO,s,ee,,,
51b,,0.25,,RBI,s,ee,,,
52,,0.5,,LFI,s,ee,,,
53,,0.5,,RBI,s,ee,,,
54,2,0.5,,LFI,s,ee,,,
55,,0.5,,RBO,s,ee,,,
56,,0.5,,LBI,s,ee,,,
,,0.5,,LBI,s,ee,,,
57,,0.5,,RFO,s,ee,,,
58,,0.5,,LFI,s,ee,,,
59,,0.25,,RFI,s,ee,,,
,,0.25,,RFI,s,ee,,,
60,,0.25,,LBI,s,ee,,,
,,0.25,,LBI,s,ee,,,
61,2,0.5,,RFI,s,ee,,,
62,,0.5,,LBO,s,ee,,,
63,,1,,RBI,s,ee,,,
,,0.5,,RFO,s,ee,,,
,,0.5,,RFO,s,ee,,,
64,2,2,,LFI,s,ee,,,
65,,1,,RBO,s,ee,,,
,,1,,RFI,s,ee,,,
,,0.5,,RBO,s,ee,,,
,,0.5,,RFI,s,ee,,,
,,0.5,,RBO,s,ee,,,
66,,0.25,,LFO,s,ee,,,
67,,0.25,,RFI,s,ee,,,
68,,0.5,,LFO,s,ee,,,
69,,0.5,,RFI,s,ee,,,
70,,1,,LFO,s,ee,,,
